Geneid	log2(fc)	pvalue	FDR
Glyma.01G006800	3.89157318519607	2.92303198923781e-07	3.86575304588518e-06
Glyma.01G006900	-0.933881451767834	0.171871737473079	0.366477701621069
Glyma.01G007000	0.394717514899248	0.320340897599716	0.556877905561364
Glyma.01G007100	-0.508464363247113	0.708284374417031	0.870238574592263
Glyma.01G007200	1.53602030259271	0.00160650642257839	0.0085399504811127
Glyma.01G007300	0.647172163893763	0.119471596794968	0.28531768254204
Glyma.01G007400	-0.358640226458156	0.766848601234768	0.904337140846731
Glyma.01G007500	-3.90311390486303	1.00751250213333e-06	1.19302824789038e-05
Glyma.01G007700	-1.27033947644139	0.0510359406020821	0.150634373116782
Glyma.01G007650	-1.42770260292244	0.414196962584059	0.653686570557479
Glyma.01G007800	0.327328082629952	0.375578179971381	0.616817885641135
Glyma.01G007900	3.84130225398094	0.274193548387097	0.500846919191387
Glyma.01G008000	0.503019794752683	0.202049892175305	0.41273281680429
Glyma.01G008100	0.338397853782155	0.346530544281252	0.587341524054708
Glyma.01G008200	1.47293588298704	0.0460978915569146	0.140206970843413
Glyma.01G008400	-0.33655701811971	0.801316516789094	0.924751046638562
Glyma.01G008500	-0.729643561063877	0.318666878305126	0.554906667264814
Glyma.01G008600	0.234989286134271	0.428636337877266	0.66822473910877
Glyma.01G008700	-0.686708472646407	0.401490081045272	0.643671776426123
Glyma.01G008800	-1.29937382987674	0.0434464332160109	0.134104337190229
Glyma.01G008900	-0.486747371922294	0.59601403119845	0.791443612241811
Glyma.01G009000	1.19647693953342	0.0859479161845764	0.222851380589719
Glyma.01G009100	-1.01407518521172	0.61008651331232	0.801898537949463
Glyma.01G009200	0.3798339297885	0.278170569312803	0.505817134558501
Glyma.01G009300	-0.761417348757426	0.294817593765183	0.526871677083813
Glyma.01G009400	0.138182918648711	0.531682914634422	0.742309624453194
Glyma.01G009500	0.687756049290429	0.130036030980556	0.304603082369744
Glyma.01G009600	2.16680758541648	3.5603277269583e-05	0.000298873633282184
Glyma.01G009700	5.87561825776462	2.36299272179613e-18	2.35777092984395e-16
Glyma.01G009800	-0.305017155455333	0.849149771128397	0.949364494945566
Glyma.01G009900	-0.353445930366198	0.774541079671564	0.908917703870815
Glyma.01G010000	1.40015453998783	0.00452262147226976	0.0206840293054973
Glyma.01G010100	0.864498341715578	0.0510177875073504	0.150590736883655
Glyma.01G010200	0.825614966510962	0.056987556571691	0.164316633316852
Glyma.01G010300	0.386433821541748	0.273711638796011	0.500846919191387
Glyma.01G010400	-1.18048057793339	0.0675198452652722	0.18801498805226
Glyma.01G010500	-4.14335528103841	3.57238075452286e-09	6.78949796377238e-08
Glyma.01G010600	0.628258169745963	0.127269276067453	0.299613645960144
Glyma.01G010700	-3.61143471208235	0.00404809957807962	0.0187614410823989
Glyma.01G010800	-0.567822893320667	0.495412582573076	0.728565505762079
Glyma.01G010900	0.0203984346593583	0.69485758596174	0.861102518645885
Glyma.01G011000	3.17773603861121	8.7974230870099e-06	8.56695963661246e-05
Glyma.01G011100	-0.428298654996794	0.675924856951267	0.847484489806423
Glyma.01G011200	0.609794353701092	0.133246968513775	0.310432727343214
Glyma.01G011300	2.01306741556538	7.56019130694078e-05	0.000587123195989506
Glyma.01G011400	-0.820606908523444	0.308696433287003	0.54379961093464
Glyma.01G011500	6.14867726773827	2.41124457677252e-10	5.68186841467097e-09
Glyma.01G011600	-7.52617316951355	9.72407801788452e-07	1.15666847120132e-05
Glyma.01G011700	0.35456691139318	0.319459541873314	0.555821305514519
Glyma.01G011800	-0.206450877467426	1	1
Glyma.01G011900	2.21230360371286	0.0177222357224323	0.0646220457646174
Glyma.01G012000	1.55325364099382	0.0437434506633823	0.134788446136614
Glyma.01G012100	4.97880577773088	4.35281183266848e-08	6.76312275745964e-07
Glyma.01G012200	-0.011055188508996	1	1
